record_id,participant_id,program_code,main_group,order_variant,age_group,design_education,digital_use,crowd_discomfort,study_duration_min,sensitivity_focus_or_reload_flag,final_usefulness,final_ease,final_representational_value,final_future_preference,trial_order,landmark_id,task_type,initial_density,first_user_selected_density,committed_density,density_sequence,switch_count,unique_levels_viewed,all_density_levels_clicked,selection_time_s,localization_time_s,time_empty_s,time_low_s,time_moderate_s,time_high_s,accuracy,aoi_distance,click_x,click_y,familiarity_visited,familiarity_visual,familiarity_spatial,rating_answer_confidence,rating_comparison_benefit,rating_control_usefulness,rating_ideal_density,rating_aesthetic_appeal,rating_expected_comfort,rating_self_location_imagery,rating_informational_adequacy,rating_representational_realism,review_selection_time_3iqr,review_localization_time_3iqr
P013_T4,P013,C3,C,3,35-64,no,1,3,5.5,True,5,4,5,5,4,colosseum,visit,high,empty,empty,high>empty>low>moderate>high>empty,5,4,1,6.458,,1.41,0.45,0.405,4.192,,,,,no,3,2,,,6,low,4.0,6.0,6.0,5.0,6.0,False,False
P014_T1,P014,B3,B,3,18-34,yes,1,4,5.5,False,7,7,7,7,1,colosseum,visit,moderate,high,moderate,moderate>high>moderate,2,2,0,17.464,,0.0,0.0,16.184,1.28,,,,,no,7,6,,,7,moderate,7.0,7.0,7.0,7.0,7.0,False,False
P014_T2,P014,B3,B,3,18-34,yes,1,4,5.5,False,7,7,7,7,2,cologne,feature,low,moderate,high,low>moderate>high>moderate>high,4,3,0,6.504,7.992,0.0,1.904,1.512,3.088,1.0,0.044,0.463,0.726,no,4,4,7.0,7.0,7,,,,,,,False,False
P014_T3,P014,B3,B,3,18-34,yes,1,4,5.5,False,7,7,7,7,3,notre_dame,visit,empty,moderate,high,empty>moderate>low>high>moderate>high,5,4,0,9.48,,4.392,0.552,2.072,2.463,,,,,no,3,3,,,7,high,7.0,7.0,7.0,7.0,7.0,False,False
P014_T4,P014,B3,B,3,18-34,yes,1,4,5.5,False,7,7,7,7,4,duomo,feature,high,moderate,high,high>moderate>high,2,2,0,6.888,5.808,0.0,0.0,0.807,6.081,1.0,0.041,0.501,0.761,no,3,3,7.0,7.0,7,,,,,,,False,False
P015_T1,P015,D2,D,2,18-34,no,2,6,17.9,True,6,7,5,7,1,colosseum,feature,empty,low,moderate,empty>low>moderate>high>empty>low>moderate>high>moderate>high>moderate,10,4,1,41.386,10.62,11.776,1.095,12.397,16.118,1.0,0.057,0.526,0.513,no,5,5,4.0,4.0,3,,,,,,,False,False
P015_T2,P015,D2,D,2,18-34,no,2,6,17.9,True,6,7,5,7,2,duomo,visit,low,moderate,moderate,low>moderate>high>moderate>high>moderate>low>empty>low>moderate>high>moderate>low>moderate>low>moderate,15,4,1,27.22,,0.555,13.299,10.367,2.999,,,,,no,1,1,,,3,low,6.0,6.0,5.0,3.0,2.0,False,False
P015_T3,P015,D2,D,2,18-34,no,2,6,17.9,True,6,7,5,7,3,cologne,feature,high,moderate,low,high>moderate>low>empty>low,4,4,0,10.237,1.681,1.493,2.676,0.495,5.573,1.0,0.047,0.458,0.732,no,1,1,5.0,6.0,6,,,,,,,False,False
P015_T4,P015,D2,D,2,18-34,no,2,6,17.9,True,6,7,5,7,4,notre_dame,visit,moderate,low,low,moderate>low>empty>low>moderate>high>moderate>low>moderate>low,9,4,1,19.936,,0.952,3.563,14.461,0.96,,,,,no,5,3,,,3,low,6.0,6.0,5.0,3.0,5.0,False,False
P016_T1,P016,D2,D,2,18-34,no,2,3,10.7,False,7,7,7,7,1,colosseum,feature,moderate,empty,high,moderate>empty>low>moderate>high>moderate>low>empty>low>moderate>high,10,4,1,12.406,18.271,2.189,1.762,5.169,3.286,1.0,0.054,0.534,0.427,no,1,1,7.0,7.0,7,,,,,,,False,False
