record_id,participant_id,task_type,landmark_id,initial_density,first_participant_initiated_density,committed_density,initial_match,first_participant_initiated_match,changed_from_initial,changed_after_first_participant_initiated_state,viewed_all_four,revisited_any_state,returned_to_initial,adjacent_transitions,skip_transitions,noop_transitions,return_transitions,direction_reversals,net_initial_to_final,sequence_length,switch_count,unique_levels_viewed,selection_time_s,total_dwell_s,dwell_empty_s,dwell_share_empty,dwell_low_s,dwell_share_low,dwell_moderate_s,dwell_share_moderate,dwell_high_s,dwell_share_high
P056_T3,P056,visit,cologne,empty,low,high,0,0,1,1,1,1,1,9,2,0,8,6,3,12,11,4,36.867,36.867,15.504,0.4205386931402067,3.753,0.1017983562535601,11.052,0.2997802913174384,6.558,0.1778826592887948
P056_T4,P056,feature,notre_dame,moderate,high,empty,0,0,1,1,1,1,1,5,2,0,4,3,-2,8,7,4,25.792,25.791,10.523,0.4080105463146058,2.099,0.0813849792563297,8.828,0.3422899461052305,4.341,0.1683145283238339
P057_T1,P057,feature,notre_dame,low,empty,low,1,0,0,1,1,1,1,4,1,0,2,2,0,6,5,4,45.938,45.937000000000005,2.025,0.0440821124583668,39.435,0.8584583233559004,2.28,0.0496331932864575,2.197,0.047826370899275
P057_T2,P057,visit,colosseum,moderate,empty,low,0,0,1,1,1,1,1,9,1,0,7,4,-1,11,10,4,39.355,39.355,3.548,0.0901537288781603,14.468,0.3676280015245839,19.516,0.4958963282937365,1.823,0.0463219413035192
P057_T3,P057,feature,duomo,high,low,low,0,1,1,0,0,0,0,0,1,0,0,0,-2,2,1,2,14.011,14.01,0.0,0.0,2.339,0.1669521770164168,0.0,0.0,11.671,0.8330478229835832
P057_T4,P057,visit,cologne,empty,low,low,0,1,1,0,1,1,0,3,1,0,1,1,1,5,4,4,19.56,19.559,14.122,0.7220205531980162,3.27,0.1671864614755355,1.335,0.068255023262948,0.832,0.0425379620635001
P058_T1,P058,visit,notre_dame,low,empty,moderate,0,0,1,1,1,1,1,5,0,0,2,2,1,6,5,4,24.187,24.188,2.145,0.0886803373573673,15.953,0.6595419216140235,4.756,0.1966264263271043,1.334,0.0551513147015048
P058_T2,P058,feature,colosseum,high,empty,high,1,0,0,1,1,1,1,3,1,0,1,1,0,5,4,4,19.981,19.981,1.477,0.0739202242130023,1.103,0.0552024423202041,1.223,0.0612081477403533,16.178,0.8096691857264401
P058_T3,P058,visit,duomo,moderate,empty,high,0,0,1,1,1,1,1,3,1,0,1,1,1,5,4,4,12.908,12.909,0.787,0.0609652180649159,0.975,0.0755287009063444,6.084,0.4712990936555891,5.063,0.3922069873731505
P058_T4,P058,feature,cologne,empty,empty,high,0,0,1,1,1,0,0,3,0,0,0,0,3,4,3,4,12.27,12.27,7.973,0.6497962510187449,0.922,0.0751426242868785,1.86,0.1515892420537897,1.515,0.1234718826405868
P059_T1,P059,feature,cologne,low,empty,empty,0,1,1,0,1,1,1,4,1,0,2,2,-1,6,5,4,7.125,7.126,1.853,0.2600336794835812,3.998,0.5610440639910188,0.63,0.0884086444007858,0.645,0.090513612124614
P059_T2,P059,visit,notre_dame,moderate,empty,empty,0,1,1,0,1,1,1,3,2,0,2,2,-2,6,5,4,7.627,7.625999999999999,2.114,0.2772095462890113,1.455,0.1907946498819827,3.09,0.4051927616050354,0.967,0.1268030422239706
P059_T3,P059,feature,colosseum,high,empty,moderate,0,0,1,1,1,1,1,4,1,0,2,2,-1,6,5,4,5.483,5.483,0.465,0.0848075870873609,0.472,0.0860842604413642,1.597,0.2912639066204632,2.949,0.5378442458508116
